field_of_view,cell_id,x,y,region,x_bin,y_bin,bin_id,mid_point_x,mid_point_y,global_bin_id,index,louvain,cell_type,benchmark_label
0,1,1305.7,414.98,Cortex,2,0,2,1353.0,372.0,2,0,13,Excitatory layer 3,eneuron
0,2,669.51,457.53,Cortex,1,0,1,853.0,372.0,1,1,3,Excitatory layer II,eneuron
0,3,1185.9,507.11,Cortex,2,0,2,1353.0,372.0,2,2,3,Excitatory layer II,eneuron
0,4,710.24,533.06,Cortex,1,0,1,853.0,372.0,1,3,7,Interneuron,ineuron 
0,5,763.87,569.15,Cortex,1,0,1,853.0,372.0,1,4,6,Excitatory layer 4,eneuron
0,6,1142.4,742.97,Cortex,2,1,7,1353.0,872.0,6,5,7,Interneuron,ineuron 
0,7,957.71,755.66,Cortex,1,1,6,853.0,872.0,5,6,3,Excitatory layer II,eneuron
0,8,1725.4,764.51,Cortex,3,1,8,1853.0,872.0,7,7,7,Interneuron,ineuron 
0,9,806.56,828.27,Cortex,1,1,6,853.0,872.0,5,8,3,Excitatory layer II,eneuron
0,10,1800.1,854.41,Cortex,3,1,8,1853.0,872.0,7,9,3,Excitatory layer II,eneuron
0,11,1886.0,844.88,Cortex,3,1,8,1853.0,872.0,7,10,3,Excitatory layer II,eneuron
0,12,950.97,863.93,Cortex,1,1,6,853.0,872.0,5,11,3,Excitatory layer II,eneuron
0,13,593.51,884.54,Cortex,0,1,5,353.0,872.0,4,12,20,Microglia,microglia
0,14,1596.5,918.18,Cortex,2,1,7,1353.0,872.0,6,13,3,Excitatory layer II,eneuron
0,15,1021.4,931.14,Cortex,1,1,6,853.0,872.0,5,14,3,Excitatory layer II,eneuron
0,16,1696.0,944.12,Cortex,3,1,8,1853.0,872.0,7,15,7,Interneuron,ineuron 
0,17,391.16,972.08,Cortex,0,1,5,353.0,872.0,4,16,19,Astrocytes deep ,astrocyte
0,18,597.81,1001.1,Cortex,0,1,5,353.0,872.0,4,17,3,Excitatory layer II,eneuron
0,19,1865.2,1009.6,Cortex,3,1,8,1853.0,872.0,7,18,20,Microglia,microglia
0,20,469.54,1022.3,Cortex,0,1,5,353.0,872.0,4,19,9,Excitatory layer 3,eneuron
0,21,1636.6,1029.2,Cortex,3,1,8,1853.0,872.0,7,20,3,Excitatory layer II,eneuron
0,22,344.12,1041.0,Cortex,0,1,5,353.0,872.0,4,21,7,Interneuron,ineuron 
0,23,1293.3,1054.1,Cortex,2,1,7,1353.0,872.0,6,22,2,Endothelial,endo
0,24,1378.9,1066.2,Cortex,2,1,7,1353.0,872.0,6,23,7,Interneuron,ineuron 
0,25,1594.2,1108.4,Cortex,2,1,7,1353.0,872.0,6,24,6,Excitatory layer 4,eneuron
0,26,822.23,1124.2,Cortex,1,2,11,853.0,1372.0,9,25,7,Interneuron,ineuron 
0,27,560.36,1123.7,Cortex,0,2,10,353.0,1372.0,8,26,6,Excitatory layer 4,eneuron
