bin_id,x,y
0,353,372
1,853,372
2,1353,372
3,1853,372
4,353,872
5,853,872
6,1353,872
7,1853,872
8,353,1372
9,853,1372
10,1353,1372
11,1853,1372
12,353,1872
13,853,1872
14,1353,1872
15,1853,1872
16,426,390
17,926,390
18,1426,390
19,1926,390
20,426,890
21,926,890
22,1426,890
23,1926,890
24,426,1390
25,926,1390
26,1426,1390
27,1926,1390
28,926,1890
29,1426,1890
30,424,404
31,924,404
32,1424,404
33,1924,404
34,424,904
35,924,904
36,1424,904
37,1924,904
38,424,1404
39,924,1404
40,1424,1404
41,1924,1404
42,424,1904
43,924,1904
44,1424,1904
45,521,423
46,1021,423
47,1521,423
48,521,923
49,1021,923
50,1521,923
51,2021,923
52,521,1423
53,1021,1423
54,1521,1423
55,2021,1423
56,521,1923
57,1021,1923
58,1521,1923
59,2021,1923
60,447,500
61,947,500
62,1447,500
63,1947,500
64,447,1000
65,947,1000
66,1447,1000
67,1947,1000
68,447,1500
69,947,1500
70,1447,1500
71,1947,1500
72,447,2000
73,947,2000
74,447,425
75,947,425
76,1447,425
77,447,925
78,947,925
79,1447,925
80,1947,925
81,447,1425
82,947,1425
83,1447,1425
84,447,1925
85,947,1925
86,697,779
87,1197,779
88,697,1279
89,1197,1279
90,1697,1279
91,697,1779
92,1197,1779
93,1697,1779
